date,avg_price,min_price,max_price,mandi_count,day,month,day_of_week,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,ma_7,ma_14,ma_30,std_7,std_14,change_1,change_7
2025-06-24,1360.65609375,600.0,1905.0,64,24,6,1,1383.4107142857142,1362.344827586207,1329.2501886792454,1343.1587301587301,1375.0,1020.7918867924528,1352.53932101437,1325.2782454447931,1334.4798020891808,22.991997370088143,75.30516927485958,-0.016448203198616174,0.013027025919119861
2025-06-25,1361.5264705882355,900.0,1800.0,51,25,6,2,1360.65609375,1383.4107142857142,1362.344827586207,1366.3829090909092,1119.8163265306123,1128.5714285714287,1351.8455440854163,1342.5432557346232,1342.2449701564078,22.574123460417137,46.94308856439456,0.000639674376378796,-0.0035542295430969206
2025-06-26,1331.0837704918033,400.0,1905.0,61,26,6,3,1361.5264705882355,1360.65609375,1383.4107142857142,1316.3039682539682,1192.2,1114.4338181818182,1353.9569444051072,1352.4635250554663,1349.4666352334073,19.123231295280966,19.211289111255233,-0.022359242184457617,0.011228259273152519
2025-06-27,1359.6923076923076,750.0,2000.0,52,27,6,4,1331.0837704918033,1361.5264705882355,1360.65609375,1349.4265454545452,1372.2856,1181.4083018867925,1355.4234818676448,1351.5640041763454,1355.4094354269246,19.111526205925323,18.493179397670207,0.02149266472532685,0.0076074998467623445
2025-06-28,1332.6666666666667,600.0,1800.0,54,28,6,5,1359.6923076923076,1331.0837704918033,1361.5264705882355,1329.2501886792454,1334.4371186440678,1158.6842105263158,1355.911550151562,1351.4375433208168,1361.208850631603,18.36058500672847,18.6248906224865,-0.0198762917703853,0.00257022945455887
2025-06-29,1353.9032258064517,850.0,1855.0,31,29,6,6,1332.6666666666667,1359.6923076923076,1331.0837704918033,1362.344827586207,1355.1724137931035,1223.3529411764705,1354.7056070401686,1351.346887036056,1365.5605267859355,18.143560415679325,18.608394366939898,0.015935387048362948,-0.006196376724028174
2025-06-30,1428.5555555555557,450.0,6500.0,54,30,6,0,1353.9032258064517,1332.6666666666667,1359.6923076923076,1383.4107142857142,1369.05,1199.732142857143,1361.1548700787173,1355.597283861453,1373.1879738758826,32.439208439039696,27.59096353381408,0.0551386009916901,0.03263299958837651
2025-07-01,2327.649827586207,1250.0,3300.0,58,1,7,1,1428.5555555555557,1353.9032258064517,1332.6666666666667,1360.65609375,1343.1587301587301,1131.7358490566037,1499.296832055318,1425.918076534844,1413.0517731602026,366.70688930063176,260.9741561454769,0.6293729834546054,0.7106819557696973
2025-07-02,2066.725490196078,1125.0,2800.0,51,2,7,2,2327.649827586207,1428.5555555555557,1353.9032258064517,1361.5264705882355,1366.3829090909092,1890.8048780487804,1600.0395491421527,1475.9425466137848,1418.9157935651126,416.09185689013077,311.00990227039017,-0.11209776242877112,0.5179473442798124
2025-07-03,1940.0358064516129,1200.0,2650.0,62,3,7,3,2066.725490196078,2327.649827586207,1428.5555555555557,1331.0837704918033,1316.3039682539682,2043.245283018868,1687.0326971364113,1520.4948207707591,1415.4754776795376,414.1417208619594,330.4498655450259,-0.06129971510267951,0.4574858844044176
2025-07-04,1250.0166666666667,812.0,3000.0,60,4,7,4,1940.0358064516129,2066.725490196078,2327.649827586207,1359.6923076923076,1349.4265454545452,1998.5692307692307,1671.3647484184626,1513.3941151430536,1390.5237255427855,430.3473553921196,335.4389402244317,-0.35567340432082706,-0.0806621030399034
2025-07-05,1025.2421428571429,575.0,1700.0,56,5,7,5,1250.0166666666667,1940.0358064516129,2066.725490196078,1332.6666666666667,1329.2501886792454,1266.6666666666667,1627.4469593028164,1491.6792547271891,1382.476241415801,483.1234664809307,357.39791917072756,-0.17981722148466595,-0.2306837347245051
2025-07-06,1218.3926470588235,500.0,1725.0,34,6,7,6,1025.2421428571429,1250.0166666666667,1940.0358064516129,1353.9032258064517,1362.344827586207,1015.6470689655172,1608.0883051960122,1481.3969561180904,1389.2344273522447,498.3850012784282,363.4250066265646,0.18839501043471474,-0.10008882183356305
2025-07-07,1289.6872413793103,450.0,2066.0,58,7,7,0,1218.3926470588235,1025.2421428571429,1250.0166666666667,1428.5555555555557,1383.4107142857142,1224.9282352941177,1588.249974599406,1474.7024223390617,1391.393060888418,509.36528652757573,366.2212904915942,0.058515286096473496,-0.0972089000222609
2025-07-08,1185.4603174603174,400.0,1800.0,63,8,7,1,1289.6872413793103,1218.3926470588235,1025.2421428571429,2327.649827586207,1360.65609375,1308.04,1425.0800445814216,1462.18843831837,1387.3070714704286,405.35464998416705,373.34212706581286,-0.0808156586921982,-0.49070504359770906
2025-07-09,1269.1666666666667,700.0,2000.0,18,9,7,2,1185.4603174603174,1289.6872413793103,1218.3926470588235,2066.725490196078,1361.5264705882355,1219.6785714285713,1311.1430697915057,1455.5913094668292,1388.9566746450316,290.86165598887135,376.0637970634788,0.07061084034063536,-0.38590457577108805
2025-07-10,1153.6545454545455,800.0,2000.0,55,10,7,3,1269.1666666666667,1185.4603174603174,1289.6872413793103,1940.0358064516129,1331.0837704918033,1375.0,1198.8028896490675,1442.9177933927392,1381.57849282685,89.96051550585639,383.4987476730617,-0.09101414671999042,-0.4053436840608543
2025-07-12,1025.0,700.0,1350.0,4,12,7,5,1153.6545454545455,1269.1666666666667,1185.4603174603174,1250.0166666666667,1359.6923076923076,1119.8163265306123,1166.6576515538295,1419.011199986146,1378.4179486091627,107.16711658980499,399.19671367503815,-0.11151912499409,-0.18001093318755745
2025-07-13,1300.0344827586207,850.0,1700.0,29,13,7,6,1025.0,1153.6545454545455,1269.1666666666667,1025.2421428571429,1332.6666666666667,1192.2,1205.9137001111833,1416.680329707,1382.0124313677834,96.5336874127065,399.83441093078864,0.2683263246425567,0.2680267698864651
2025-07-14,1413.2459016393443,375.0,11000.0,61,14,7,0,1300.0344827586207,1025.0,1153.6545454545455,1218.3926470588235,1353.9032258064517,1372.2856,1233.7498793369723,1420.9190922664925,1383.3777747557617,124.71264597019639,399.4320507484375,0.08708339692689804,0.15992648597387116
2025-07-15,1258.8002985074627,700.0,1900.0,67,15,7,1,1413.2459016393443,1300.0344827586207,1025.0,1289.6872413793103,1428.5555555555557,1334.4371186440678,1229.3374589267082,1408.7937167630569,1380.856547417875,122.93745919541672,401.75225456542796,-0.10928430993695226,-0.023949173009430003
2025-07-16,1290.4514035087718,800.0,1800.0,57,16,7,2,1258.8002985074627,1413.2459016393443,1300.0344827586207,1185.4603174603174,2327.649827586207,1355.1724137931035,1244.336185505059,1334.7081150432405,1378.6991804083968,123.09663637894526,302.6968836702643,0.025143865185635272,0.08856566896594487
