date,avg_price,min_price,max_price,mandi_count,arrival_quantity,days_since_previous,day,month,day_of_week,day_of_year,lag_1,lag_2,lag_3,lag_7,lag_14,ma_3,ma_7,ma_14,std_7,change_1,change_3
2025-04-01,2311.9245283018868,1300.0,3500.0,53,0.0,1.0,1,4,1,91,1238.888888888889,1328.75,1406.9354838709678,1456.076769230769,1438.6969696969697,1626.5211390635916,1487.188469627937,1428.095413210968,368.2511690211063,0.8661274219477113,0.6432342170665708
2025-04-02,2034.6,1052.0,2900.0,55,0.0,1.0,2,4,2,92,2311.9245283018868,1238.888888888889,1328.75,1400.0655737704917,1364.7083333333333,1861.8044723969251,1577.836244803581,1475.9448179728731,417.97196706320443,-0.11995397120752138,0.5312135465663217
2025-04-03,2076.46875,1300.0,2750.0,64,0.0,1.0,3,4,3,93,2034.6,2311.9245283018868,1238.888888888889,1387.095238095238,1348.0694444444443,2140.997759433962,1676.3181750756899,1527.9733397982698,445.82597519877044,0.020578369212621794,0.6760734304932736
2025-04-04,1217.4132142857143,800.0,2000.0,56,0.0,1.0,4,4,4,94,2076.46875,2034.6,2311.9245283018868,1336.659574468085,1307.732142857143,1776.1606547619042,1659.2829807639225,1521.5219877574534,462.91813785410324,-0.41370983103612113,-0.4734200016555442
2025-04-05,1007.5,550.0,1550.0,30,0.0,1.0,5,4,5,95,1217.4132142857143,2076.46875,2034.6,1406.9354838709678,1310.0576923076924,1433.7939880952379,1602.2207687823557,1499.9107240211895,520.2736998762642,-0.1724256085136019,-0.5048166715816376
2025-04-06,1162.232142857143,600.0,1750.0,56,0.0,1.0,6,4,6,96,1007.5,1217.4132142857143,2076.46875,1328.75,1422.1875,1129.048452380952,1578.4325034762333,1481.3424842252714,538.354111358383,0.1535802906770649,-0.4402843082241701
2025-04-07,1309.6433962264152,623.0,1850.0,53,0.0,1.0,7,4,0,97,1162.232142857143,1007.5,1217.4132142857143,1238.888888888889,1374.1846153846154,1159.7918463611857,1588.540290238737,1476.732397142543,531.5376188937315,0.12683460380547373,0.07575914312283416
2025-04-08,1161.6091525423728,350.0,1800.0,59,0.0,1.0,8,4,1,98,1309.6433962264152,1162.232142857143,1007.5,2311.9245283018868,1456.076769230769,1211.16156387531,1424.209522273092,1455.6989959505147,440.67120644734746,-0.11303400918951356,0.15296193800731794
2025-04-09,1190.1698113207547,450.0,2200.0,53,0.0,1.0,9,4,2,99,1161.6091525423728,1309.6433962264152,1162.232142857143,2034.6,1400.0655737704917,1220.4741200298472,1303.576638176057,1440.706441489819,352.4860931239118,0.024587150261232038,0.024037941675689734
2025-04-10,1159.0,400.0,2000.0,45,0.0,1.0,10,4,3,100,1190.1698113207547,1161.6091525423728,1309.6433962264152,2076.46875,1387.095238095238,1170.2596546210423,1172.5096738903428,1424.4139244830164,90.15636321752469,-0.02618938156914341,-0.1150262710142903
