date,avg_price,min_price,max_price,mandi_count,missing_data,day,month,day_of_week,lag_1,lag_7,lag_14,lag_30,ma_7,ma_14,ma_30
2025-03-18,1438.6969696969697,1000.0,2600.0,66.0,0,18,3,1,1433.378787878788,1215.6423675213675,1267.8870967741937,2392.2916666666665,1447.6341473341472,1318.282640220559,1723.5461961009537
2025-03-19,1364.7083333333333,1000.0,1750.0,48.0,0,19,3,2,1438.6969696969697,1271.1538461538462,993.6853703703704,2433.4603174603176,1460.999074074074,1344.784280432199,1687.9211299633876
2025-03-20,1348.0694444444443,877.0,2400.0,72.0,0,20,3,3,1364.7083333333333,1427.4,1132.7868852459017,2381.6382978723404,1449.6661375661376,1360.161606089238,1653.4688348491245
2025-03-21,1307.732142857143,850.0,2000.0,56.0,0,21,3,4,1348.0694444444443,1456.851851851852,1331.605076923077,2267.2,1428.3633219954647,1358.4563965131,1621.4865729443625
2025-03-22,1310.0576923076924,350.0,2300.0,52.0,0,22,3,5,1307.732142857143,1508.2,1254.1379310344828,2165.1396923076927,1400.057278039421,1362.450665175472,1592.983839611029
2025-03-23,1422.1875,850.0,2700.0,32.0,0,23,3,6,1310.0576923076924,1597.7575757575758,1234.5294117647059,2135.823684210526,1374.9758386454814,1375.8548143351359,1569.1959668040115
2025-03-24,1374.1846153846154,1000.0,2250.0,65.0,0,24,3,0,1422.1875,1433.378787878788,1160.1308888888889,2112.744680851064,1366.5195282891711,1391.1443662276877,1544.5772979551298
2025-03-25,1456.0767692307693,900.0,2700.0,65.0,0,25,3,1,1374.1846153846154,1438.6969696969697,1215.6423675213675,1948.2,1369.0023567939995,1408.3182520640735,1528.1731902628223
2025-03-26,1400.0655737704917,1000.0,2350.0,61.0,0,26,3,2,1456.0767692307693,1364.7083333333333,1271.1538461538462,2056.7379032258063,1374.053391142165,1417.5262326081195,1506.2841126143119
2025-03-27,1387.095238095238,638.0,2000.0,63.0,0,27,3,3,1400.0655737704917,1348.0694444444443,1427.4,2033.549019607843,1379.62850452085,1414.6473210434938,1484.7356532305582
2025-03-28,1336.659574468085,800.0,2500.0,47.0,0,28,3,4,1387.095238095238,1307.732142857143,1456.851851851852,2060.967741935484,1383.7609947509845,1406.0621583732247,1460.5920476483116
2025-03-29,1406.9354838709678,900.0,2600.0,31.0,0,29,3,5,1336.659574468085,1310.0576923076924,1508.2,2054.6153846153848,1397.600679260024,1398.8289786497223,1439.0027176234978
2025-03-30,1328.75,875.0,1800.0,20.0,0,30,3,6,1406.9354838709678,1422.1875,1597.7575757575758,2057.8823529411766,1384.2524649743098,1379.6141518098955,1414.6983058587919
2025-03-31,1238.888888888889,950.0,1600.0,18.0,0,31,3,0,1328.75,1374.1846153846154,1433.378787878788,2270.0440384615385,1364.9245040463486,1365.7220161677599,1380.3264675397036
2025-04-01,2311.9245283018868,1300.0,3500.0,53.0,0,1,4,1,1238.888888888889,1456.0767692307693,1438.6969696969697,1974.7,1487.1884696279371,1428.0954132109684,1391.5672851497666
