date,avg_price,min_price,max_price,mandi_count,arrival_quantity,days_since_previous,day,month,day_of_week,day_of_year,lag_1,lag_2,lag_3,lag_7,lag_14,ma_3,ma_7,ma_14,std_7,change_1,change_3
2025-09-24,3957.625,2600.0,5200.0,8,0.0,1.0,24,9,2,267,3978.8888888888887,3878.5714285714284,3725.0,4016.909090909091,4433.333333333333,3938.361772486769,4067.6629818594106,4076.690275200989,249.25302548869422,-0.005344177604021172,0.06244966442953026
2025-09-25,3854.1666666666665,2000.0,5200.0,12,0.0,1.0,25,9,3,268,3957.625,3978.8888888888887,3878.5714285714284,4223.333333333333,4351.0,3930.2268518518486,4014.924886621315,4041.2021799628938,249.88020321048154,-0.026141520061484735,-0.006292203806015917
2025-09-26,3747.8571428571427,2600.0,4950.0,7,0.0,1.0,26,9,4,269,3854.1666666666665,3957.625,3978.8888888888887,4426.222222222223,4189.4,3853.2162698412667,3918.015589569161,4009.6634044526904,187.5546561405245,-0.027583011583011574,-0.05806438744165632
2025-09-27,4147.777777777777,2600.0,6750.0,9,0.0,1.0,27,9,5,270,3747.8571428571427,3854.1666666666665,3957.625,4284.0,3860.625,3916.600529100526,3898.5552721088434,4030.174317151103,145.6340396349408,0.10670647777566011,0.048047194410227645
2025-09-28,4011.25,2600.0,5500.0,4,0.0,1.0,28,9,6,271,4147.777777777777,3747.8571428571427,3854.1666666666665,3725.0,3620.2,3968.961640211637,3939.4481292517007,4058.1064600082454,127.88584093042834,-0.032915885346905926,0.04075675675675683
2025-09-29,4116.818181818182,2000.0,6750.0,11,0.0,1.0,29,9,0,272,4011.25,4147.777777777777,3747.8571428571427,3878.5714285714284,4223.0,4091.94865319865,3973.4833797155225,4050.52204442383,140.10359548424344,0.02631802600640243,0.09844586516970755
2025-09-30,4404.444444444444,2600.0,6650.0,9,0.0,1.0,30,9,1,273,4116.818181818182,4011.25,4147.777777777777,3978.8888888888887,4338.888888888889,4177.504208754206,4034.277030509173,4055.20458410637,215.09736119208915,0.06986615631862403,0.06188052504687924
2025-10-01,4387.277777777777,2600.0,6750.0,18,0.0,1.0,1,10,2,274,4404.444444444444,4116.818181818182,4011.25,3957.625,4016.909090909091,4302.846801346798,4095.6559987631413,4081.659490311276,248.3155245295683,-0.0038975782038346285,0.09374329143727711
2025-10-02,3250.0,3250.0,3250.0,2,0.0,1.0,2,10,3,275,4387.277777777777,4404.444444444444,4116.818181818182,3854.1666666666665,4223.333333333333,4013.9074074074038,4009.346474953618,4012.1356807874668,403.0374738078454,-0.25922173962593853,-0.2105553715358287
2025-10-03,3949.3076923076924,2491.0,6650.0,13,0.0,1.0,3,10,4,276,3250.0,4387.277777777777,4404.444444444444,3747.8571428571427,4426.222222222223,3862.195156695154,4038.1251248751246,3978.070357222143,388.1721571551021,0.2151715976331361,-0.10333579135294568
